IBOV - Carteira do Dia 09/02/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;256.055.995;0,299;0,904;
Consumo Cíclico/Constr Civil;CYRE4;CYRELA REALT;PN      NM;48.543.949;0,054;0,904;
Consumo Cíclico/Constr Civil;DIRR3;DIRECIONAL;ON      NM;325.640.184;0,193;0,904;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;374.670.758;0,126;0,904;
Consumo Cíclico/Viagens e Lazer;SMFT3;SMART FIT;ON      NM;467.471.342;0,383;0,383;
Diversos;COGN3;COGNA ON;ON      NM;1.914.692.857;0,274;2,413;
Diversos;RENT3;LOCALIZA;ON      NM;977.042.684;1,871;2,413;
Diversos;RENT4;LOCALIZA;PN      NM;37.577.993;0,070;2,413;
Diversos;VAMO3;VAMOS;ON      NM;390.902.974;0,065;2,413;
Diversos;YDUQ3;YDUQS PART;ON      NM;261.365.845;0,133;2,413;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;466.135.796;0,553;1,181;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,227;1,181;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;320.022.221;0,401;1,181;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN      N1;5.970.522.444;3,179;3,179;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON  EJ  N1;1.467.570.789;0,981;19,994;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN  EJ  N1;5.106.488.516;3,952;19,994;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;2.842.496.541;2,597;19,994;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.404.794.900;3,179;19,994;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN  EJ  N1;5.027.870.728;8,826;19,994;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;360.347.199;0,459;19,994;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,861;1,801;
Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,410;1,801;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,175;1,801;
Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON      NM;181.016.454;0,355;1,801;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.196.371.458;3,325;3,325;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;792.355.216;0,574;1,729;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;612.918.471;1,155;1,729;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.914.708;0,228;12,452;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,364;12,452;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;3.688.870.616;11,860;12,452;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA ATZ N1;265.876.767;0,093;0,093;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.263.524.206;1,042;1,730;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;830.615.826;0,308;1,730;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727.975.012;0,260;1,730;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.999;0,120;1,730;
Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON      NM;462.883.017;0,304;15,153;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.802.521.475;0,391;15,153;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;2.943.171.983;4,295;15,153;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.410.960.450;6,070;15,153;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;274.630.892;0,111;15,153;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;762.017.253;1,449;15,153;
Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,038;15,153;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.071.443.332;1,073;15,153;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.192.531.648;1,422;15,153;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON  ES  NM;329.017.784;0,290;1,602;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.311.428.175;1,312;1,602;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;447.150.822;0,284;2,113;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;287.507.905;0,127;2,113;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.091.469.308;1,702;2,113;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;533.980.424;0,759;0,759;
Telecomunicação;VIVT3;TELEF BRASIL;ON;738.065.812;1,078;1,849;
Telecomunicação;TIMS3;TIM;ON      NM;804.628.136;0,771;1,849;
Utilidade Públ / Água Saneamento;CSMG3;COPASA;ON      NM;188.467.895;0,381;3,738;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;621.445.261;3,357;3,738;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;318.338.365;0,136;13,599;
Utilidade Públ / Energ Elétrica;AXIA3;AXIA ENERGIA;ON      N1;1.945.846.761;4,211;13,599;
Utilidade Públ / Energ Elétrica;AXIA6;AXIA ENERGIA;PNB     N1;270.655.585;0,624;13,599;
Utilidade Públ / Energ Elétrica;AXIA7;AXIA ENERGIA;PNC     N1;582.580.795;1,217;13,599;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.904.057.894;0,811;13,599;
Utilidade Públ / Energ Elétrica;CPLE3;COPEL;ON      NM;1.709.534.925;0,861;13,599;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,348;13,599;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;358.053.350;0,680;13,599;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.912.889.086;1,572;13,599;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;357.310.487;0,447;13,599;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.250.951.305;1,921;13,599;
Utilidade Públ / Energ Elétrica;ISAE4;ISA ENERGIA;PN  EJ  N1;395.801.044;0,430;13,599;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,341;13,599;
Quantidade Teórica Total;;;;92.835.730.986;100,000;100,000
Redutor;;;;14.557.735,27805976
