IBOV - Carteira do Dia 09/02/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.485.954.732;2,893;2,893;
Bens Indls / Mat Transporte;EMBJ3;EMBRAER;ON      NM;722.766.139;2,490;2,664;
Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;727.730.867;0,174;2,664;
Bens Indls/Transporte;MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,641;1,340;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,699;1,340;
Cons N  Básico / Alimentos Processados;MBRF3;MARFRIG;ON      NM;767.248.368;0,542;0,643;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;439.073.587;0,101;0,643;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.273.841.357;2,474;2,474;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.338.601.375;0,441;0,501;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;433.412.603;0,060;0,501;
Cons N Cíclico / Pr Pessoal Limp;NATU3;NATURA;ON      NM;838.359.453;0,287;0,287;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;222.404.640;0,129;0,129;
Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;132.447.688;0,123;0,937;
Consumo Cíclico / Comércio;CEAB3;CEA MODAS;ON      NM;204.964.309;0,100;0,937;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;981.927.306;0,571;0,937;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;373.185.407;0,143;0,937;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;123.177.361;0,135;0,135;
Consumo Cíclico/Constr Civil;CURY3;CURY S/A;ON  ED  NM;160.988.231;0,232;0,904;
