IBOV - Carteira do Dia 05/02/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.485.954.732;2,888;2,888;
Bens Indls / Mat Transporte;EMBJ3;EMBRAER;ON      NM;722.766.139;2,519;2,690;
Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;727.730.867;0,171;2,690;
Bens Indls/Transporte;MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,634;1,339;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,705;1,339;
Cons N  Básico / Alimentos Processados;MBRF3;MARFRIG;ON      NM;767.248.368;0,549;0,649;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;439.073.587;0,100;0,649;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.273.841.357;2,473;2,473;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.338.601.375;0,435;0,498;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;433.412.603;0,063;0,498;
Cons N Cíclico / Pr Pessoal Limp;NATU3;NATURA;ON      NM;838.359.453;0,277;0,277;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;222.404.640;0,133;0,133;
Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;132.447.688;0,127;0,926;
Consumo Cíclico / Comércio;CEAB3;CEA MODAS;ON      NM;204.964.309;0,097;0,926;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;981.927.306;0,564;0,926;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;373.185.407;0,138;0,926;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;123.177.361;0,133;0,133;
Consumo Cíclico/Constr Civil;CURY3;CURY S/A;ON  ED  NM;160.988.231;0,216;0,858;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;256.055.995;0,295;0,858;
Consumo Cíclico/Constr Civil;CYRE4;CYRELA REALT;PN      NM;48.543.949;0,053;0,858;
Consumo Cíclico/Constr Civil;DIRR3;DIRECIONAL;ON      NM;325.640.184;0,178;0,858;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;374.670.758;0,116;0,858;
Consumo Cíclico/Viagens e Lazer;SMFT3;SMART FIT;ON      NM;467.471.342;0,389;0,389;
Diversos;COGN3;COGNA ON;ON      NM;1.914.692.857;0,292;2,404;
Diversos;RENT3;LOCALIZA;ON      NM;977.042.684;1,849;2,404;
Diversos;RENT4;LOCALIZA;PN      NM;37.577.993;0,069;2,404;
Diversos;VAMO3;VAMOS;ON      NM;390.902.974;0,061;2,404;
Diversos;YDUQ3;YDUQS PART;ON      NM;261.365.845;0,133;2,404;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;466.135.796;0,547;1,170;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,225;1,170;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;320.022.221;0,398;1,170;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN      N1;5.970.522.444;3,066;3,066;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON  EJ  N1;1.467.570.789;1,002;19,802;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN  EJ  N1;5.106.488.516;4,051;19,802;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;2.842.496.541;2,698;19,802;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.404.794.900;3,092;19,802;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN  EJ  N1;5.027.870.728;8,483;19,802;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;360.347.199;0,476;19,802;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,866;1,808;
Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,405;1,808;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,177;1,808;
Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON      NM;181.016.454;0,360;1,808;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.196.371.458;3,099;3,099;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;792.355.216;0,579;1,729;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;612.918.471;1,150;1,729;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.914.708;0,240;13,092;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,378;13,092;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;3.688.870.616;12,474;13,092;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA ATZ N1;265.876.767;0,095;0,095;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.263.524.206;1,070;1,794;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;830.615.826;0,315;1,794;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727.975.012;0,282;1,794;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.999;0,127;1,794;
Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON      NM;462.883.017;0,316;15,401;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.802.521.475;0,397;15,401;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;2.943.171.983;4,435;15,401;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.410.960.450;6,258;15,401;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;274.630.892;0,112;15,401;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;762.017.253;1,448;15,401;
Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,039;15,401;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.071.443.332;1,053;15,401;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.192.531.648;1,343;15,401;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;296.007.718;0,257;1,526;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.311.428.175;1,269;1,526;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;447.150.822;0,279;2,134;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;287.507.905;0,136;2,134;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.091.469.308;1,719;2,134;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;533.980.424;0,767;0,767;
Telecomunicação;VIVT3;TELEF BRASIL;ON;738.065.812;1,064;1,818;
Telecomunicação;TIMS3;TIM;ON      NM;804.628.136;0,754;1,818;
Utilidade Públ / Água Saneamento;CSMG3;COPASA;ON      NM;188.467.895;0,381;3,754;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;621.445.261;3,373;3,754;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;318.338.365;0,131;13,288;
Utilidade Públ / Energ Elétrica;AXIA3;AXIA ENERGIA;ON      N1;1.945.846.761;4,045;13,288;
Utilidade Públ / Energ Elétrica;AXIA6;AXIA ENERGIA;PNB     N1;270.655.585;0,599;13,288;
Utilidade Públ / Energ Elétrica;AXIA7;AXIA ENERGIA;PNC     N1;582.580.795;1,169;13,288;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.904.057.894;0,832;13,288;
Utilidade Públ / Energ Elétrica;CPLE3;COPEL;ON      NM;1.709.534.925;0,851;13,288;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,357;13,288;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;358.053.350;0,678;13,288;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.912.889.086;1,505;13,288;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;357.310.487;0,450;13,288;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.250.951.305;1,904;13,288;
Utilidade Públ / Energ Elétrica;ISAE4;ISA ENERGIA;PN  EJ  N1;395.801.044;0,424;13,288;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,343;13,288;
Quantidade Teórica Total;;;;92.802.720.920;100,000;100,000
Redutor;;;;14.553.900,61396431
