IBOV - Carteira do Dia 06/02/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727.975.012;0,272;1,754;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.999;0,124;1,754;
Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON      NM;462.883.017;0,307;15,217;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.802.521.475;0,384;15,217;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;2.943.171.983;4,361;15,217;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.410.960.450;6,157;15,217;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;274.630.892;0,111;15,217;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;762.017.253;1,413;15,217;
Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,038;15,217;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.071.443.332;1,056;15,217;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.192.531.648;1,390;15,217;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;296.007.718;0,261;1,561;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.311.428.175;1,300;1,561;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;447.150.822;0,284;2,128;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;287.507.905;0,131;2,128;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.091.469.308;1,713;2,128;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;533.980.424;0,755;0,755;
Telecomunicação;VIVT3;TELEF BRASIL;ON;738.065.812;1,081;1,856;
Telecomunicação;TIMS3;TIM;ON      NM;804.628.136;0,775;1,856;
Utilidade Públ / Água Saneamento;CSMG3;COPASA;ON      NM;188.467.895;0,382;3,782;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;621.445.261;3,400;3,782;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;318.338.365;0,132;13,547;
Utilidade Públ / Energ Elétrica;AXIA3;AXIA ENERGIA;ON      N1;1.945.846.761;4,177;13,547;
Utilidade Públ / Energ Elétrica;AXIA6;AXIA ENERGIA;PNB     N1;270.655.585;0,618;13,547;
Utilidade Públ / Energ Elétrica;AXIA7;AXIA ENERGIA;PNC     N1;582.580.795;1,207;13,547;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.904.057.894;0,828;13,547;
Utilidade Públ / Energ Elétrica;CPLE3;COPEL;ON      NM;1.709.534.925;0,860;13,547;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,356;13,547;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;358.053.350;0,676;13,547;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.912.889.086;1,557;13,547;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;357.310.487;0,449;13,547;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.250.951.305;1,908;13,547;
Utilidade Públ / Energ Elétrica;ISAE4;ISA ENERGIA;PN  EJ  N1;395.801.044;0,435;13,547;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,344;13,547;
Quantidade Teórica Total;;;;92.802.720.920;100,000;100,000
Redutor;;;;14.553.900,61396431
