IBOV - Carteira do Dia 06/02/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.485.954.732;2,927;2,927;
Bens Indls / Mat Transporte;EMBJ3;EMBRAER;ON      NM;722.766.139;2,503;2,674;
Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;727.730.867;0,171;2,674;
Bens Indls/Transporte;MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,640;1,340;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,700;1,340;
Cons N  Básico / Alimentos Processados;MBRF3;MARFRIG;ON      NM;767.248.368;0,546;0,647;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;439.073.587;0,101;0,647;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.273.841.357;2,496;2,496;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.338.601.375;0,439;0,499;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;433.412.603;0,060;0,499;
Cons N Cíclico / Pr Pessoal Limp;NATU3;NATURA;ON      NM;838.359.453;0,283;0,283;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;222.404.640;0,131;0,131;
Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;132.447.688;0,123;0,920;
Consumo Cíclico / Comércio;CEAB3;CEA MODAS;ON      NM;204.964.309;0,098;0,920;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;981.927.306;0,563;0,920;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;373.185.407;0,136;0,920;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;123.177.361;0,135;0,135;
Consumo Cíclico/Constr Civil;CURY3;CURY S/A;ON  ED  NM;160.988.231;0,223;0,883;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;256.055.995;0,300;0,883;
Consumo Cíclico/Constr Civil;CYRE4;CYRELA REALT;PN      NM;48.543.949;0,054;0,883;
Consumo Cíclico/Constr Civil;DIRR3;DIRECIONAL;ON      NM;325.640.184;0,182;0,883;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;374.670.758;0,124;0,883;
Consumo Cíclico/Viagens e Lazer;SMFT3;SMART FIT;ON      NM;467.471.342;0,387;0,387;
Diversos;COGN3;COGNA ON;ON      NM;1.914.692.857;0,285;2,398;
Diversos;RENT3;LOCALIZA;ON      NM;977.042.684;1,846;2,398;
Diversos;RENT4;LOCALIZA;PN      NM;37.577.993;0,069;2,398;
Diversos;VAMO3;VAMOS;ON      NM;390.902.974;0,065;2,398;
Diversos;YDUQ3;YDUQS PART;ON      NM;261.365.845;0,133;2,398;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;466.135.796;0,553;1,180;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,228;1,180;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;320.022.221;0,399;1,180;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN      N1;5.970.522.444;3,117;3,117;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON  EJ  N1;1.467.570.789;1,006;19,932;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN  EJ  N1;5.106.488.516;4,075;19,932;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;2.842.496.541;2,621;19,932;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.404.794.900;3,126;19,932;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN  EJ  N1;5.027.870.728;8,634;19,932;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;360.347.199;0,470;19,932;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,865;1,793;
Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,408;1,793;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,175;1,793;
Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON      NM;181.016.454;0,345;1,793;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.196.371.458;3,188;3,188;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;792.355.216;0,581;1,747;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;612.918.471;1,166;1,747;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.914.708;0,232;12,633;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,370;12,633;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;3.688.870.616;12,031;12,633;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA ATZ N1;265.876.767;0,090;0,090;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.263.524.206;1,049;1,754;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;830.615.826;0,309;1,754;
