IBOV - Carteira do Dia 04/02/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.071.443.332;1,035;15,186;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.192.531.648;1,330;15,186;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;296.007.718;0,281;1,577;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.311.428.175;1,296;1,577;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;447.150.822;0,280;2,138;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;287.507.905;0,136;2,138;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.091.469.308;1,722;2,138;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;533.980.424;0,862;0,862;
Telecomunicação;VIVT3;TELEF BRASIL;ON;738.065.812;1,052;1,799;
Telecomunicação;TIMS3;TIM;ON      NM;804.628.136;0,747;1,799;
Utilidade Públ / Água Saneamento;CSMG3;COPASA;ON      NM;188.467.895;0,380;3,727;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;621.445.261;3,347;3,727;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;318.338.365;0,132;13,359;
Utilidade Públ / Energ Elétrica;AXIA3;AXIA ENERGIA;ON      N1;1.945.846.761;4,086;13,359;
Utilidade Públ / Energ Elétrica;AXIA6;AXIA ENERGIA;PNB     N1;270.655.585;0,604;13,359;
Utilidade Públ / Energ Elétrica;AXIA7;AXIA ENERGIA;PNC     N1;582.580.795;1,186;13,359;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.904.057.894;0,834;13,359;
Utilidade Públ / Energ Elétrica;CPLE3;COPEL;ON      NM;1.709.534.925;0,856;13,359;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,355;13,359;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;358.053.350;0,684;13,359;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.912.889.086;1,499;13,359;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;357.310.487;0,447;13,359;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.250.951.305;1,907;13,359;
Utilidade Públ / Energ Elétrica;ISAE4;ISA ENERGIA;PN  EJ  N1;395.801.044;0,426;13,359;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,343;13,359;
Quantidade Teórica Total;;;;92.802.720.920;100,000;100,000
Redutor;;;;14.554.302,89503631
