IBRA - Carteira do Dia 05/02/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Consumo Cíclico/Constr Civil;JHSF3;JHSF PART;ON  ED  NM;275.032.114;0,089;1,230;
Consumo Cíclico/Constr Civil;LAVV3;LAVVI;ON  ED  NM;74.230.129;0,043;1,230;
Consumo Cíclico/Constr Civil;MDNE3;MOURA DUBEUX;ON      NM;61.996.705;0,061;1,230;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;374.670.758;0,105;1,230;
Consumo Cíclico/Constr Civil;PLPL3;PLANOEPLANO;ON      NM;54.395.641;0,028;1,230;
Consumo Cíclico/Constr Civil;TEND3;TENDA;ON      NM;114.782.786;0,111;1,230;
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;446.924.627;0,040;0,393;
Consumo Cíclico/Viagens e Lazer;SMFT3;SMART FIT;ON      NM;467.471.342;0,353;0,393;
Diversos;ANIM3;ANIMA;ON      NM;256.720.485;0,042;2,299;
Diversos;COGN3;COGNA ON;ON      NM;1.914.692.857;0,265;2,299;
Diversos;RENT3;LOCALIZA;ON      NM;977.042.684;1,679;2,299;
Diversos;RENT4;LOCALIZA;PN      NM;37.577.993;0,062;2,299;
Diversos;MOVI3;MOVIDA;ON      NM;121.834.637;0,054;2,299;
Diversos;SEER3;SER EDUCA;ON      NM;50.527.159;0,021;2,299;
Diversos;VAMO3;VAMOS;ON      NM;390.902.974;0,056;2,299;
Diversos;YDUQ3;YDUQS PART;ON      NM;261.365.845;0,120;2,299;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;466.135.796;0,496;1,119;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,204;1,119;
Financ e Outros / Explor Imóveis;LOGG3;LOG COM PROP;ON      NM;50.624.080;0,048;1,119;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;320.022.221;0,361;1,119;
