IBRA - Carteira do Dia 06/02/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;KEPL3;KEPLER WEBER;ON      NM;173.082.697;0,060;2,718;
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.485.954.732;2,658;2,718;
Bens Indls / Mat Transporte;EMBJ3;EMBRAER;ON      NM;722.766.139;2,273;2,611;
Bens Indls / Mat Transporte;FRAS3;FRAS-LE;ON      N1;107.111.030;0,087;2,611;
Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;727.730.867;0,156;2,611;
Bens Indls / Mat Transporte;RAPT4;RANDON PART;PN      N1;176.793.154;0,038;2,611;
Bens Indls / Mat Transporte;RCSL3;RECRUSUL;ON;2.760.432;0,000;2,611;
Bens Indls / Mat Transporte;RCSL4;RECRUSUL;PN;15.971.374;0,004;2,611;
Bens Indls / Mat Transporte;TUPY3;TUPY;ON      NM;130.913.780;0,053;2,611;
Bens Indls / Serviços;GGPS3;GPS;ON      NM;433.010.168;0,273;0,329;
Bens Indls / Serviços;VLID3;VALID;ON      NM;75.830.365;0,056;0,329;
Bens Indls/Transporte;ECOR3;ECORODOVIAS;ON      NM;328.954.615;0,123;1,483;
Bens Indls/Transporte;HBSA3;HIDROVIAS;ON      NM;611.563.443;0,083;1,483;
Bens Indls/Transporte;JSLG3;JSL;ON      NM;63.103.465;0,018;1,483;
Bens Indls/Transporte;MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,581;1,483;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,635;1,483;
Bens Indls/Transporte;TGMA3;TEGMA;ON      NM;32.001.079;0,043;1,483;
Bens Industriais / Constr e Engenh;ARML3;ARMAC;ON      NM;172.086.226;0,027;0,120;
Bens Industriais / Constr e Engenh;MILS3;MILLS;ON      NM;108.722.880;0,056;0,120;
Bens Industriais / Constr e Engenh;PRNR3;PRINER;ON      NM;55.925.047;0,037;0,120;
Comput e Equips;INTB3;INTELBRAS;ON      NM;114.061.681;0,047;0,058;
Comput e Equips;POSI3;POSITIVO TEC;ON      NM;72.725.303;0,011;0,058;
Cons N  Básico / Alimentos Processados;CAML3;CAMIL;ON      NM;96.218.424;0,022;0,727;
Cons N  Básico / Alimentos Processados;MDIA3;M.DIASBRANCO;ON      NM;64.887.799;0,055;0,727;
Cons N  Básico / Alimentos Processados;MBRF3;MARFRIG;ON      NM;767.248.368;0,496;0,727;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;439.073.587;0,092;0,727;
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;123.583.436;0,062;0,727;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.273.841.357;2,266;2,266;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.338.601.375;0,399;0,532;
Cons N Cíclico / Comércio Distr.;GMAT3;GRUPO MATEUS;ON      NM;457.887.353;0,078;0,532;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;433.412.603;0,055;0,532;
Cons N Cíclico / Pr Pessoal Limp;NATU3;NATURA;ON      NM;838.359.453;0,257;0,257;
Cons N Ciclico/Agropecuária;TTEN3;3TENTOS;ON      NM;113.576.386;0,062;0,242;
Cons N Ciclico/Agropecuária;SOJA3;BOA SAFRA;ON      NM;59.184.380;0,017;0,242;
Cons N Ciclico/Agropecuária;AGRO3;BRASILAGRO;ON      NM;63.307.258;0,044;0,242;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;222.404.640;0,119;0,242;
Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;132.447.688;0,112;0,981;
Consumo Cíclico / Comércio;BHIA3;CASAS BAHIA;ON      NM;95.071.856;0,010;0,981;
Consumo Cíclico / Comércio;CEAB3;CEA MODAS;ON      NM;204.964.309;0,089;0,981;
Consumo Cíclico / Comércio;SBFG3;GRUPO SBF;ON      NM;128.426.253;0,060;0,981;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;981.927.306;0,511;0,981;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;373.185.407;0,123;0,981;
Consumo Cíclico / Comércio;AUAU3;PETZCOBASI;ON      NM;296.819.280;0,033;0,981;
Consumo Cíclico / Comércio;LJQQ3;QUERO-QUERO;ON      NM;195.194.199;0,016;0,981;
Consumo Cíclico / Comércio;RIAA3;RIACHUELO;ON      NM;82.758.473;0,027;0,981;
Consumo Cíclico / Tecid Vest Calç;ALPA4;ALPARGATAS;PN      N1;137.901.957;0,072;0,331;
Consumo Cíclico / Tecid Vest Calç;GRND3;GRENDENE;ON      NM;245.681.367;0,042;0,331;
Consumo Cíclico / Tecid Vest Calç;TFCO4;TRACK FIELD;PN      N2;49.323.148;0,028;0,331;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;123.177.361;0,123;0,331;
Consumo Cíclico / Tecid Vest Calç;VULC3;VULCABRAS;ON      NM;109.348.213;0,066;0,331;
Consumo Cíclico/Autos e Motos;AMOB3;AUTOMOB;ON      NM;10.703.132;0,005;0,117;
Consumo Cíclico/Autos e Motos;MYPK3;IOCHP-MAXION;ON      NM;138.703.243;0,050;0,117;
Consumo Cíclico/Autos e Motos;LEVE3;METAL LEVE;ON      NM;52.865.876;0,062;0,117;
Consumo Cíclico/Constr Civil;CURY3;CURY S/A;ON  ED  NM;160.988.231;0,203;1,265;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;256.055.995;0,273;1,265;
Consumo Cíclico/Constr Civil;CYRE4;CYRELA REALT;PN      NM;48.543.949;0,049;1,265;
Consumo Cíclico/Constr Civil;DIRR3;DIRECIONAL;ON      NM;325.640.184;0,165;1,265;
Consumo Cíclico/Constr Civil;EVEN3;EVEN;ON      NM;185.333.384;0,049;1,265;
Consumo Cíclico/Constr Civil;EZTC3;EZTEC;ON      NM;121.216.090;0,066;1,265;
Consumo Cíclico/Constr Civil;GFSA3;GAFISA;ON      NM;11.159.370;0,001;1,265;
Consumo Cíclico/Constr Civil;HBOR3;HELBOR;ON      NM;65.595.478;0,006;1,265;
Consumo Cíclico/Constr Civil;JHSF3;JHSF PART;ON  ED  NM;275.032.114;0,092;1,265;
Consumo Cíclico/Constr Civil;LAVV3;LAVVI;ON  ED  NM;74.230.129;0,044;1,265;
Consumo Cíclico/Constr Civil;MDNE3;MOURA DUBEUX;ON      NM;61.996.705;0,063;1,265;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;374.670.758;0,112;1,265;
Consumo Cíclico/Constr Civil;PLPL3;PLANOEPLANO;ON      NM;54.395.641;0,028;1,265;
Consumo Cíclico/Constr Civil;TEND3;TENDA;ON      NM;114.782.786;0,114;1,265;
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;446.924.627;0,039;0,391;
Consumo Cíclico/Viagens e Lazer;SMFT3;SMART FIT;ON      NM;467.471.342;0,352;0,391;
Diversos;ANIM3;ANIMA;ON      NM;256.720.485;0,042;2,294;
Diversos;COGN3;COGNA ON;ON      NM;1.914.692.857;0,258;2,294;
Diversos;RENT3;LOCALIZA;ON      NM;977.042.684;1,676;2,294;
Diversos;RENT4;LOCALIZA;PN      NM;37.577.993;0,063;2,294;
Diversos;MOVI3;MOVIDA;ON      NM;121.834.637;0,054;2,294;
Diversos;SEER3;SER EDUCA;ON      NM;50.527.159;0,021;2,294;
Diversos;VAMO3;VAMOS;ON      NM;390.902.974;0,059;2,294;
Diversos;YDUQ3;YDUQS PART;ON      NM;261.365.845;0,121;2,294;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;466.135.796;0,503;1,130;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,207;1,130;
Financ e Outros / Explor Imóveis;LOGG3;LOG COM PROP;ON      NM;50.624.080;0,048;1,130;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;320.022.221;0,362;1,130;
Financ e Outros / Explor Imóveis;SYNE3;SYN PROP TEC;ON      NM;59.381.237;0,010;1,130;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN      N1;5.970.522.444;2,831;2,881;
Financ e Outros / Holdings Divers;SIMH3;SIMPAR;ON      NM;219.019.512;0,050;2,881;
Financ e Outros / Interms Financs;ABCB4;ABC BRASIL;PN      N2;81.152.113;0,074;19,613;
Financ e Outros / Interms Financs;BRSR6;BANRISUL;PNB     N1;202.536.440;0,129;19,613;
Financ e Outros / Interms Financs;BRBI11;BR PARTNERS;UNT     N2;47.238.057;0,033;19,613;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON  EJ  N1;1.467.570.789;0,913;19,613;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN  EJ  N1;5.106.488.516;3,700;19,613;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;2.842.496.541;2,380;19,613;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.459.806.501;2,950;19,613;
Financ e Outros / Interms Financs;ITUB3;ITAUUNIBANCO;ON  EJ  N1;456.116.279;0,664;19,613;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN  EJ  N1;5.350.259.376;8,343;19,613;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;360.347.199;0,427;19,613;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,785;1,628;
Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,370;1,628;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,159;1,628;
Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON      NM;181.016.454;0,314;1,628;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.196.371.458;2,895;2,895;
Mats Básicos / Embalagens;RANI3;IRANI;ON      NM;98.773.072;0,031;0,031;
Mats Básicos / Madeira e Papel;DXCO3;DEXCO;ON      NM;330.827.092;0,064;1,650;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;792.355.216;0,527;1,650;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;612.918.471;1,059;1,650;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.914.708;0,210;13,257;
Mats Básicos / Mineração;CBAV3;CBA;ON      NM;204.441.277;0,072;13,257;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,336;13,257;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.267.772.018;12,639;13,257;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA ATZ N1;265.876.767;0,082;0,190;
Mats Básicos / Químicos;UNIP6;UNIPAR;PNB;49.483.367;0,108;0,190;
Mats Básicos / Sid Metalurgia;FESA4;FERBASA;PN      N1;147.407.600;0,041;1,633;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.263.524.206;0,953;1,633;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;830.615.826;0,280;1,633;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727.975.012;0,247;1,633;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.999;0,112;1,633;
Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON      NM;462.883.017;0,279;14,538;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.802.521.475;0,348;14,538;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;3.478.483.761;4,681;14,538;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.410.960.450;5,591;14,538;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;274.630.892;0,100;14,538;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;762.017.253;1,283;14,538;
Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,035;14,538;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.071.443.332;0,959;14,538;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.192.531.648;1,262;14,538;
Saúde/Comércio Distr.;BLAU3;BLAU;ON      NM;38.584.960;0,014;1,516;
Saúde/Comércio Distr.;PNVL3;DIMED;ON      NM;71.064.416;0,034;1,516;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;296.007.718;0,237;1,516;
Saúde/Comércio Distr.;PGMN3;PAGUE MENOS;ON      NM;234.333.051;0,051;1,516;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.311.428.175;1,180;1,516;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;447.150.822;0,258;2,147;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;287.507.905;0,119;2,147;
Saúde/SM Hosp An.Diag;ODPV3;ODONTOPREV;ON      NM;251.735.971;0,103;2,147;
Saúde/SM Hosp An.Diag;ONCO3;ONCOCLINICAS;ON      NM;1.054.759.992;0,090;2,147;
Saúde/SM Hosp An.Diag;QUAL3;QUALICORP;ON      NM;279.655.194;0,021;2,147;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.091.469.308;1,556;2,147;
Tec.Informação/Programas Servs;BMOB3;BEMOBI TECH;ON      NM;79.316.310;0,062;0,815;
Tec.Informação/Programas Servs;LWSA3;LWSA;ON      NM;380.656.363;0,057;0,815;
Tec.Informação/Programas Servs;CASH3;MELIUZ;ON      NM;93.080.385;0,011;0,815;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;533.980.424;0,685;0,815;
Telecomunicação;DESK3;DESKTOP;ON      NM;34.770.090;0,019;1,705;
Telecomunicação;VIVT3;TELEF BRASIL;ON;738.065.812;0,982;1,705;
Telecomunicação;TIMS3;TIM;ON      NM;804.628.136;0,704;1,705;
Utilidade Públ / Água Saneamento;CSMG3;COPASA;ON      NM;188.467.895;0,347;4,299;
Utilidade Públ / Água Saneamento;ORVR3;ORIZON;ON      NM;54.399.873;0,135;4,299;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;703.760.624;3,496;4,299;
Utilidade Públ / Água Saneamento;SAPR11;SANEPAR;UNT     N2;201.077.478;0,321;4,299;
Utilidade Públ / Energ Elétrica;ALUP11;ALUPAR;UNT     N2;157.537.587;0,185;13,350;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;318.338.365;0,119;13,350;
Utilidade Públ / Energ Elétrica;AXIA3;AXIA ENERGIA;ON      N1;1.974.649.558;3,849;13,350;
Utilidade Públ / Energ Elétrica;AXIA6;AXIA ENERGIA;PNB     N1;270.655.585;0,562;13,350;
Utilidade Públ / Energ Elétrica;AXIA7;AXIA ENERGIA;PNC     N1;590.151.261;1,110;13,350;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.904.057.894;0,752;13,350;
Utilidade Públ / Energ Elétrica;CPLE3;COPEL;ON      NM;2.969.191.078;1,357;13,350;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,323;13,350;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;358.053.350;0,613;13,350;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.912.889.086;1,414;13,350;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;357.310.487;0,408;13,350;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.250.951.305;1,733;13,350;
Utilidade Públ / Energ Elétrica;ISAE4;ISA ENERGIA;PN  EJ  N1;395.801.044;0,395;13,350;
Utilidade Públ / Energ Elétrica;NEOE3;NEOENERGIA;ON      NM;195.592.180;0,218;13,350;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,312;13,350;
