SMLL - Carteira do Dia 06/02/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;446.924.627;0,322;3,217;
Consumo Cíclico/Viagens e Lazer;SMFT3;SMART FIT;ON      NM;467.471.342;2,895;3,217;
Diversos;ANIM3;ANIMA;ON      NM;256.720.485;0,346;4,572;
Diversos;COGN3;COGNA ON;ON      NM;1.914.692.857;2,126;4,572;
Diversos;MOVI3;MOVIDA;ON      NM;121.834.637;0,445;4,572;
Diversos;SEER3;SER EDUCA;ON      NM;50.527.159;0,174;4,572;
Diversos;VAMO3;VAMOS;ON      NM;390.902.974;0,485;4,572;
Diversos;YDUQ3;YDUQS PART;ON      NM;261.365.845;0,996;4,572;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;466.135.796;4,135;9,296;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;1,703;9,296;
Financ e Outros / Explor Imóveis;LOGG3;LOG COM PROP;ON      NM;50.624.080;0,397;9,296;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;320.022.221;2,979;9,296;
Financ e Outros / Explor Imóveis;SYNE3;SYN PROP TEC;ON      NM;59.381.237;0,082;9,296;
Financ e Outros / Holdings Divers;SIMH3;SIMPAR;ON      NM;219.019.512;0,414;0,414;
Financ e Outros / Interms Financs;ABCB4;ABC BRASIL;PN      N2;81.152.113;0,605;1,932;
Financ e Outros / Interms Financs;BRSR6;BANRISUL;PNB     N1;202.536.440;1,058;1,932;
Financ e Outros / Interms Financs;BRBI11;BR PARTNERS;UNT     N2;47.238.057;0,269;1,932;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.787;1,311;1,311;
Mats Básicos / Embalagens;RANI3;IRANI;ON      NM;98.773.072;0,253;0,253;
Mats Básicos / Madeira e Papel;DXCO3;DEXCO;ON      NM;330.827.092;0,526;0,526;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.914.708;1,730;2,320;
Mats Básicos / Mineração;CBAV3;CBA;ON      NM;204.441.277;0,590;2,320;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA ATZ N1;265.876.767;0,674;1,564;
Mats Básicos / Químicos;UNIP6;UNIPAR;PNB;49.483.367;0,890;1,564;
Mats Básicos / Sid Metalurgia;FESA4;FERBASA;PN      N1;147.407.600;0,341;5,603;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;830.615.826;2,306;5,603;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727.975.012;2,031;5,603;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.999;0,925;5,603;
Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON      NM;462.883.017;2,295;6,275;
