SMLL - Carteira do Dia 05/02/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;KEPL3;KEPLER WEBER;ON      NM;173.082.697;0,493;0,493;
Bens Indls / Mat Transporte;FRAS3;FRAS-LE;ON      N1;107.111.030;0,721;2,789;
Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;727.730.867;1,277;2,789;
Bens Indls / Mat Transporte;RAPT4;RANDON PART;PN      N1;176.793.154;0,315;2,789;
Bens Indls / Mat Transporte;RCSL3;RECRUSUL;ON;2.760.432;0,002;2,789;
Bens Indls / Mat Transporte;RCSL4;RECRUSUL;PN;15.971.374;0,035;2,789;
Bens Indls / Mat Transporte;TUPY3;TUPY;ON      NM;130.913.780;0,439;2,789;
Bens Indls / Serviços;GGPS3;GPS;ON      NM;433.010.168;2,270;2,731;
Bens Indls / Serviços;VLID3;VALID;ON      NM;75.830.365;0,461;2,731;
Bens Indls/Transporte;ECOR3;ECORODOVIAS;ON      NM;328.954.615;0,997;2,173;
Bens Indls/Transporte;HBSA3;HIDROVIAS;ON      NM;611.563.443;0,687;2,173;
Bens Indls/Transporte;JSLG3;JSL;ON      NM;63.103.465;0,137;2,173;
Bens Indls/Transporte;TGMA3;TEGMA;ON      NM;32.001.079;0,352;2,173;
Bens Industriais / Constr e Engenh;ARML3;ARMAC;ON      NM;172.086.226;0,222;0,983;
Bens Industriais / Constr e Engenh;MILS3;MILLS;ON      NM;108.722.880;0,466;0,983;
Bens Industriais / Constr e Engenh;PRNR3;PRINER;ON      NM;55.925.047;0,295;0,983;
Comput e Equips;INTB3;INTELBRAS;ON      NM;114.061.681;0,394;0,483;
Comput e Equips;POSI3;POSITIVO TEC;ON      NM;72.725.303;0,089;0,483;
Cons N  Básico / Alimentos Processados;CAML3;CAMIL;ON      NM;96.218.424;0,186;1,913;
Cons N  Básico / Alimentos Processados;MDIA3;M.DIASBRANCO;ON      NM;64.887.799;0,456;1,913;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;439.073.587;0,748;1,913;
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;123.583.436;0,523;1,913;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.338.601.375;3,244;4,347;
Cons N Cíclico / Comércio Distr.;GMAT3;GRUPO MATEUS;ON      NM;457.887.353;0,637;4,347;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;433.412.603;0,466;4,347;
Cons N Cíclico / Pr Pessoal Limp;NATU3;NATURA;ON      NM;838.359.453;2,067;2,067;
Cons N Ciclico/Agropecuária;TTEN3;3TENTOS;ON      NM;113.576.386;0,518;2,015;
Cons N Ciclico/Agropecuária;SOJA3;BOA SAFRA;ON      NM;59.184.380;0,144;2,015;
Cons N Ciclico/Agropecuária;AGRO3;BRASILAGRO;ON      NM;63.307.258;0,362;2,015;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;222.404.640;0,991;2,015;
Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;132.447.688;0,951;8,130;
Consumo Cíclico / Comércio;BHIA3;CASAS BAHIA;ON      NM;95.071.856;0,082;8,130;
Consumo Cíclico / Comércio;CEAB3;CEA MODAS;ON      NM;204.964.309;0,721;8,130;
Consumo Cíclico / Comércio;SBFG3;GRUPO SBF;ON      NM;128.426.253;0,494;8,130;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;981.927.306;4,211;8,130;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;373.185.407;1,025;8,130;
Consumo Cíclico / Comércio;AUAU3;PETZCOBASI;ON      NM;296.819.280;0,272;8,130;
Consumo Cíclico / Comércio;LJQQ3;QUERO-QUERO;ON      NM;195.194.199;0,137;8,130;
Consumo Cíclico / Comércio;RIAA3;RIACHUELO;ON      NM;82.758.473;0,237;8,130;
Consumo Cíclico / Tecid Vest Calç;ALPA4;ALPARGATAS;PN      N1;137.901.957;0,568;2,678;
Consumo Cíclico / Tecid Vest Calç;GRND3;GRENDENE;ON      NM;245.681.367;0,342;2,678;
Consumo Cíclico / Tecid Vest Calç;TFCO4;TRACK FIELD;PN      N2;49.323.148;0,220;2,678;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;123.177.361;0,994;2,678;
Consumo Cíclico / Tecid Vest Calç;VULC3;VULCABRAS;ON      NM;109.348.213;0,554;2,678;
Consumo Cíclico/Autos e Motos;AMOB3;AUTOMOB;ON      NM;10.703.132;0,040;0,972;
Consumo Cíclico/Autos e Motos;MYPK3;IOCHP-MAXION;ON      NM;138.703.243;0,420;0,972;
Consumo Cíclico/Autos e Motos;LEVE3;METAL LEVE;ON      NM;52.865.876;0,512;0,972;
Consumo Cíclico/Constr Civil;CURY3;CURY S/A;ON  ED  NM;160.988.231;1,611;10,136;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;256.055.995;2,204;10,136;
Consumo Cíclico/Constr Civil;CYRE4;CYRELA REALT;PN      NM;48.543.949;0,397;10,136;
Consumo Cíclico/Constr Civil;DIRR3;DIRECIONAL;ON      NM;325.640.184;1,327;10,136;
Consumo Cíclico/Constr Civil;EVEN3;EVEN;ON      NM;185.333.384;0,402;10,136;
Consumo Cíclico/Constr Civil;EZTC3;EZTEC;ON      NM;121.216.090;0,528;10,136;
Consumo Cíclico/Constr Civil;GFSA3;GAFISA;ON      NM;11.159.370;0,012;10,136;
Consumo Cíclico/Constr Civil;HBOR3;HELBOR;ON      NM;65.595.478;0,050;10,136;
Consumo Cíclico/Constr Civil;JHSF3;JHSF PART;ON  ED  NM;275.032.114;0,736;10,136;
Consumo Cíclico/Constr Civil;LAVV3;LAVVI;ON  ED  NM;74.230.129;0,352;10,136;
Consumo Cíclico/Constr Civil;MDNE3;MOURA DUBEUX;ON      NM;61.996.705;0,504;10,136;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;374.670.758;0,865;10,136;
Consumo Cíclico/Constr Civil;PLPL3;PLANOEPLANO;ON      NM;54.395.641;0,234;10,136;
Consumo Cíclico/Constr Civil;TEND3;TENDA;ON      NM;114.782.786;0,914;10,136;
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;446.924.627;0,326;3,229;
Consumo Cíclico/Viagens e Lazer;SMFT3;SMART FIT;ON      NM;467.471.342;2,903;3,229;
Diversos;ANIM3;ANIMA;ON      NM;256.720.485;0,346;4,582;
Diversos;COGN3;COGNA ON;ON      NM;1.914.692.857;2,183;4,582;
Diversos;MOVI3;MOVIDA;ON      NM;121.834.637;0,442;4,582;
Diversos;SEER3;SER EDUCA;ON      NM;50.527.159;0,169;4,582;
Diversos;VAMO3;VAMOS;ON      NM;390.902.974;0,457;4,582;
Diversos;YDUQ3;YDUQS PART;ON      NM;261.365.845;0,985;4,582;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;466.135.796;4,079;9,205;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;1,676;9,205;
Financ e Outros / Explor Imóveis;LOGG3;LOG COM PROP;ON      NM;50.624.080;0,396;9,205;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;320.022.221;2,972;9,205;
Financ e Outros / Explor Imóveis;SYNE3;SYN PROP TEC;ON      NM;59.381.237;0,082;9,205;
Financ e Outros / Holdings Divers;SIMH3;SIMPAR;ON      NM;219.019.512;0,407;0,407;
Financ e Outros / Interms Financs;ABCB4;ABC BRASIL;PN      N2;81.152.113;0,609;1,940;
Financ e Outros / Interms Financs;BRSR6;BANRISUL;PNB     N1;202.536.440;1,057;1,940;
Financ e Outros / Interms Financs;BRBI11;BR PARTNERS;UNT     N2;47.238.057;0,274;1,940;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.787;1,324;1,324;
Mats Básicos / Embalagens;RANI3;IRANI;ON      NM;98.773.072;0,251;0,251;
Mats Básicos / Madeira e Papel;DXCO3;DEXCO;ON      NM;330.827.092;0,521;0,521;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.914.708;1,790;2,379;
Mats Básicos / Mineração;CBAV3;CBA;ON      NM;204.441.277;0,589;2,379;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA ATZ N1;265.876.767;0,707;1,592;
Mats Básicos / Químicos;UNIP6;UNIPAR;PNB;49.483.367;0,885;1,592;
Mats Básicos / Sid Metalurgia;FESA4;FERBASA;PN      N1;147.407.600;0,347;5,750;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;830.615.826;2,353;5,750;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727.975.012;2,102;5,750;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.999;0,948;5,750;
Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON      NM;462.883.017;2,358;6,444;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.802.521.475;2,960;6,444;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;274.630.892;0,838;6,444;
Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,288;6,444;
Saúde/Comércio Distr.;BLAU3;BLAU;ON      NM;38.584.960;0,112;2,745;
Saúde/Comércio Distr.;PNVL3;DIMED;ON      NM;71.064.416;0,279;2,745;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;296.007.718;1,920;2,745;
Saúde/Comércio Distr.;PGMN3;PAGUE MENOS;ON      NM;234.333.051;0,434;2,745;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;447.150.822;2,079;4,864;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;287.507.905;1,010;4,864;
Saúde/SM Hosp An.Diag;ODPV3;ODONTOPREV;ON      NM;251.735.971;0,848;4,864;
Saúde/SM Hosp An.Diag;ONCO3;ONCOCLINICAS;ON      NM;1.054.759.992;0,756;4,864;
Saúde/SM Hosp An.Diag;QUAL3;QUALICORP;ON      NM;279.655.194;0,171;4,864;
Tec.Informação/Programas Servs;BMOB3;BEMOBI TECH;ON      NM;79.316.310;0,512;1,079;
Tec.Informação/Programas Servs;LWSA3;LWSA;ON      NM;380.656.363;0,473;1,079;
Tec.Informação/Programas Servs;CASH3;MELIUZ;ON      NM;93.080.385;0,094;1,079;
Telecomunicação;DESK3;DESKTOP;ON      NM;34.770.090;0,143;0,143;
Utilidade Públ / Água Saneamento;CSMG3;COPASA;ON      NM;188.467.895;2,843;6,588;
Utilidade Públ / Água Saneamento;ORVR3;ORIZON;ON      NM;54.399.873;1,118;6,588;
Utilidade Públ / Água Saneamento;SAPR11;SANEPAR;UNT     N2;201.077.478;2,627;6,588;
Utilidade Públ / Energ Elétrica;ALUP11;ALUPAR;UNT     N2;157.537.587;1,504;5,047;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;318.338.365;0,985;5,047;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;2,558;5,047;
Quantidade Teórica Total;;;;30.638.191.289;100,000;100,000
Redutor;;;;140.621.131,50043439
