SMLL - Carteira do Dia 04/02/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Consumo Cíclico / Comércio;BHIA3;CASAS BAHIA;ON      NM;95.071.856;0,084;8,149;
Consumo Cíclico / Comércio;CEAB3;CEA MODAS;ON      NM;204.964.309;0,705;8,149;
Consumo Cíclico / Comércio;SBFG3;GRUPO SBF;ON      NM;128.426.253;0,504;8,149;
Consumo Cíclico / Comércio;GUAR3;GUARARAPES;ON      NM;82.758.473;0,233;8,149;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;981.927.306;4,210;8,149;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;373.185.407;1,039;8,149;
Consumo Cíclico / Comércio;AUAU3;PETZCOBASI;ON      NM;296.819.280;0,275;8,149;
Consumo Cíclico / Comércio;LJQQ3;QUERO-QUERO;ON      NM;195.194.199;0,137;8,149;
Consumo Cíclico / Tecid Vest Calç;ALPA4;ALPARGATAS;PN      N1;137.901.957;0,561;2,636;
Consumo Cíclico / Tecid Vest Calç;GRND3;GRENDENE;ON      NM;245.681.367;0,336;2,636;
Consumo Cíclico / Tecid Vest Calç;TFCO4;TRACK FIELD;PN      N2;49.323.148;0,219;2,636;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;123.177.361;0,976;2,636;
Consumo Cíclico / Tecid Vest Calç;VULC3;VULCABRAS;ON      NM;109.348.213;0,544;2,636;
Consumo Cíclico/Autos e Motos;AMOB3;AUTOMOB;ON      NM;10.703.132;0,041;0,963;
Consumo Cíclico/Autos e Motos;MYPK3;IOCHP-MAXION;ON      NM;138.703.243;0,410;0,963;
Consumo Cíclico/Autos e Motos;LEVE3;METAL LEVE;ON      NM;52.865.876;0,512;0,963;
Consumo Cíclico/Constr Civil;CURY3;CURY S/A;ON      NM;160.988.231;1,612;10,126;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;256.055.995;2,253;10,126;
Consumo Cíclico/Constr Civil;CYRE4;CYRELA REALT;PN      NM;48.543.949;0,413;10,126;
Consumo Cíclico/Constr Civil;DIRR3;DIRECIONAL;ON      NM;325.640.184;1,325;10,126;
Consumo Cíclico/Constr Civil;EVEN3;EVEN;ON      NM;185.333.384;0,410;10,126;
Consumo Cíclico/Constr Civil;EZTC3;EZTEC;ON      NM;121.216.090;0,518;10,126;
Consumo Cíclico/Constr Civil;GFSA3;GAFISA;ON      NM;11.159.370;0,012;10,126;
Consumo Cíclico/Constr Civil;HBOR3;HELBOR;ON      NM;65.595.478;0,050;10,126;
Consumo Cíclico/Constr Civil;JHSF3;JHSF PART;ON  ED  NM;275.032.114;0,753;10,126;
Consumo Cíclico/Constr Civil;LAVV3;LAVVI;ON  ED  NM;74.230.129;0,351;10,126;
Consumo Cíclico/Constr Civil;MDNE3;MOURA DUBEUX;ON      NM;52.344.196;0,425;10,126;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;374.670.758;0,866;10,126;
Consumo Cíclico/Constr Civil;PLPL3;PLANOEPLANO;ON      NM;54.395.641;0,229;10,126;
Consumo Cíclico/Constr Civil;TEND3;TENDA;ON      NM;114.782.786;0,909;10,126;
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;446.924.627;0,313;3,211;
Consumo Cíclico/Viagens e Lazer;SMFT3;SMART FIT;ON      NM;467.471.342;2,898;3,211;
Diversos;ANIM3;ANIMA;ON      NM;256.720.485;0,342;4,719;
Diversos;COGN3;COGNA ON;ON      NM;1.914.692.857;2,285;4,719;
Diversos;MOVI3;MOVIDA;ON      NM;121.834.637;0,441;4,719;
Diversos;SEER3;SER EDUCA;ON      NM;50.527.159;0,174;4,719;
Diversos;VAMO3;VAMOS;ON      NM;390.902.974;0,470;4,719;
Diversos;YDUQ3;YDUQS PART;ON      NM;261.365.845;1,007;4,719;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;466.135.796;4,057;9,106;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;1,667;9,106;
Financ e Outros / Explor Imóveis;LOGG3;LOG COM PROP;ON      NM;50.624.080;0,395;9,106;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;320.022.221;2,906;9,106;
Financ e Outros / Explor Imóveis;SYNE3;SYN PROP TEC;ON      NM;59.381.237;0,081;9,106;
Financ e Outros / Holdings Divers;SIMH3;SIMPAR;ON      NM;219.019.512;0,410;0,410;
Financ e Outros / Interms Financs;ABCB4;ABC BRASIL;PN      N2;81.152.113;0,608;1,922;
Financ e Outros / Interms Financs;BRSR6;BANRISUL;PNB     N1;202.536.440;1,038;1,922;
Financ e Outros / Interms Financs;BRBI11;BR PARTNERS;UNT     N2;47.238.057;0,276;1,922;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.787;1,326;1,326;
Mats Básicos / Embalagens;RANI3;IRANI;ON      NM;98.773.072;0,251;0,251;
Mats Básicos / Madeira e Papel;DXCO3;DEXCO;ON      NM;330.827.092;0,523;0,523;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.914.708;1,738;2,311;
Mats Básicos / Mineração;CBAV3;CBA;ON      NM;204.441.277;0,573;2,311;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA ATZ N1;265.876.767;0,676;1,570;
Mats Básicos / Químicos;UNIP6;UNIPAR;PNB;49.483.367;0,894;1,570;
Mats Básicos / Sid Metalurgia;FESA4;FERBASA;PN      N1;147.407.600;0,352;5,718;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;830.615.826;2,349;5,718;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727.975.012;2,076;5,718;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.999;0,941;5,718;
Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON      NM;462.883.017;2,323;6,458;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.802.521.475;2,969;6,458;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;274.630.892;0,843;6,458;
Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,323;6,458;
Saúde/Comércio Distr.;BLAU3;BLAU;ON      NM;38.584.960;0,111;2,911;
Saúde/Comércio Distr.;PNVL3;DIMED;ON      NM;71.064.416;0,276;2,911;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;296.007.718;2,086;2,911;
Saúde/Comércio Distr.;PGMN3;PAGUE MENOS;ON      NM;234.333.051;0,438;2,911;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;447.150.822;2,084;4,804;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;287.507.905;1,012;4,804;
Saúde/SM Hosp An.Diag;ODPV3;ODONTOPREV;ON      NM;251.735.971;0,843;4,804;
Saúde/SM Hosp An.Diag;ONCO3;ONCOCLINICAS;ON      NM;1.054.759.992;0,681;4,804;
Saúde/SM Hosp An.Diag;QUAL3;QUALICORP;ON      NM;279.655.194;0,184;4,804;
Tec.Informação/Programas Servs;BMOB3;BEMOBI TECH;ON      NM;79.316.310;0,536;1,135;
Tec.Informação/Programas Servs;LWSA3;LWSA;ON      NM;380.656.363;0,504;1,135;
Tec.Informação/Programas Servs;CASH3;MELIUZ;ON      NM;93.080.385;0,095;1,135;
Telecomunicação;DESK3;DESKTOP;ON      NM;34.770.090;0,141;0,141;
Utilidade Públ / Água Saneamento;CSMG3;COPASA;ON      NM;188.467.895;2,825;6,551;
Utilidade Públ / Água Saneamento;ORVR3;ORIZON;ON      NM;54.399.873;1,127;6,551;
Utilidade Públ / Água Saneamento;SAPR11;SANEPAR;UNT     N2;201.077.478;2,599;6,551;
Utilidade Públ / Energ Elétrica;ALUP11;ALUPAR;UNT     N2;157.537.587;1,471;4,997;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;318.338.365;0,978;4,997;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;2,548;4,997;
Quantidade Teórica Total;;;;30.628.538.780;100,000;100,000
Redutor;;;;140.539.273,87972691
