SMLL - Carteira do Dia 04/02/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;KEPL3;KEPLER WEBER;ON      NM;173.082.697;0,487;0,487;
Bens Indls / Mat Transporte;FRAS3;FRAS-LE;ON      N1;107.111.030;0,722;2,811;
Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;727.730.867;1,301;2,811;
Bens Indls / Mat Transporte;RAPT4;RANDON PART;PN      N1;176.793.154;0,316;2,811;
Bens Indls / Mat Transporte;RCSL3;RECRUSUL;ON;2.760.432;0,002;2,811;
Bens Indls / Mat Transporte;RCSL4;RECRUSUL;PN;15.971.374;0,033;2,811;
Bens Indls / Mat Transporte;TUPY3;TUPY;ON      NM;130.913.780;0,437;2,811;
Bens Indls / Serviços;GGPS3;GPS;ON      NM;433.010.168;2,251;2,713;
Bens Indls / Serviços;VLID3;VALID;ON      NM;75.830.365;0,462;2,713;
Bens Indls/Transporte;ECOR3;ECORODOVIAS;ON      NM;328.954.615;1,029;2,187;
Bens Indls/Transporte;HBSA3;HIDROVIAS;ON      NM;611.563.443;0,671;2,187;
Bens Indls/Transporte;JSLG3;JSL;ON      NM;63.103.465;0,134;2,187;
Bens Indls/Transporte;TGMA3;TEGMA;ON      NM;32.001.079;0,353;2,187;
Bens Industriais / Constr e Engenh;ARML3;ARMAC;ON      NM;172.086.226;0,229;0,984;
Bens Industriais / Constr e Engenh;MILS3;MILLS;ON      NM;108.722.880;0,465;0,984;
Bens Industriais / Constr e Engenh;PRNR3;PRINER;ON      NM;55.925.047;0,290;0,984;
Comput e Equips;INTB3;INTELBRAS;ON      NM;114.061.681;0,402;0,496;
Comput e Equips;POSI3;POSITIVO TEC;ON      NM;72.725.303;0,094;0,496;
Cons N  Básico / Alimentos Processados;CAML3;CAMIL;ON      NM;96.218.424;0,183;1,934;
Cons N  Básico / Alimentos Processados;MDIA3;M.DIASBRANCO;ON      NM;64.887.799;0,450;1,934;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;439.073.587;0,761;1,934;
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;123.583.436;0,540;1,934;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.338.601.375;3,258;4,354;
Cons N Cíclico / Comércio Distr.;GMAT3;GRUPO MATEUS;ON      NM;457.887.353;0,632;4,354;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;433.412.603;0,464;4,354;
Cons N Cíclico / Pr Pessoal Limp;NATU3;NATURA;ON      NM;838.359.453;2,064;2,064;
Cons N Ciclico/Agropecuária;TTEN3;3TENTOS;ON      NM;113.576.386;0,524;2,032;
Cons N Ciclico/Agropecuária;SOJA3;BOA SAFRA;ON      NM;59.184.380;0,144;2,032;
Cons N Ciclico/Agropecuária;AGRO3;BRASILAGRO;ON      NM;63.307.258;0,373;2,032;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;222.404.640;0,991;2,032;
Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;132.447.688;0,962;8,149;
