SMLL - Carteira do Dia 09/02/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;KEPL3;KEPLER WEBER;ON      NM;173.082.697;0,493;0,493;
Bens Indls / Mat Transporte;FRAS3;FRAS-LE;ON      N1;107.111.030;0,709;2,784;
Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;727.730.867;1,294;2,784;
Bens Indls / Mat Transporte;RAPT4;RANDON PART;PN      N1;176.793.154;0,308;2,784;
Bens Indls / Mat Transporte;RCSL3;RECRUSUL;ON;2.760.432;0,003;2,784;
Bens Indls / Mat Transporte;RCSL4;RECRUSUL;PN;15.971.374;0,038;2,784;
Bens Indls / Mat Transporte;TUPY3;TUPY;ON      NM;130.913.780;0,432;2,784;
Bens Indls / Serviços;GGPS3;GPS;ON      NM;433.010.168;2,260;2,723;
Bens Indls / Serviços;VLID3;VALID;ON      NM;75.830.365;0,463;2,723;
Bens Indls/Transporte;ECOR3;ECORODOVIAS;ON      NM;328.954.615;1,005;2,185;
Bens Indls/Transporte;HBSA3;HIDROVIAS;ON      NM;611.563.443;0,673;2,185;
Bens Indls/Transporte;JSLG3;JSL;ON      NM;63.103.465;0,152;2,185;
Bens Indls/Transporte;TGMA3;TEGMA;ON      NM;32.001.079;0,355;2,185;
Bens Industriais / Constr e Engenh;ARML3;ARMAC;ON      NM;172.086.226;0,229;0,990;
Bens Industriais / Constr e Engenh;MILS3;MILLS;ON      NM;108.722.880;0,458;0,990;
Bens Industriais / Constr e Engenh;PRNR3;PRINER;ON      NM;55.925.047;0,303;0,990;
Comput e Equips;INTB3;INTELBRAS;ON      NM;114.061.681;0,387;0,475;
Comput e Equips;POSI3;POSITIVO TEC;ON      NM;72.725.303;0,088;0,475;
Cons N  Básico / Alimentos Processados;CAML3;CAMIL;ON      NM;96.218.424;0,181;1,905;
Cons N  Básico / Alimentos Processados;MDIA3;M.DIASBRANCO;ON      NM;64.887.799;0,447;1,905;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;439.073.587;0,755;1,905;
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;123.583.436;0,522;1,905;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.338.601.375;3,291;4,379;
Cons N Cíclico / Comércio Distr.;GMAT3;GRUPO MATEUS;ON      NM;457.887.353;0,637;4,379;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;433.412.603;0,451;4,379;
Cons N Cíclico / Pr Pessoal Limp;NATU3;NATURA;ON      NM;838.359.453;2,138;2,138;
Cons N Ciclico/Agropecuária;TTEN3;3TENTOS;ON      NM;113.576.386;0,495;1,952;
Cons N Ciclico/Agropecuária;SOJA3;BOA SAFRA;ON      NM;59.184.380;0,136;1,952;
Cons N Ciclico/Agropecuária;AGRO3;BRASILAGRO;ON      NM;63.307.258;0,358;1,952;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;222.404.640;0,963;1,952;
Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;132.447.688;0,920;8,182;
Consumo Cíclico / Comércio;BHIA3;CASAS BAHIA;ON      NM;95.071.856;0,078;8,182;
Consumo Cíclico / Comércio;CEAB3;CEA MODAS;ON      NM;204.964.309;0,748;8,182;
Consumo Cíclico / Comércio;SBFG3;GRUPO SBF;ON      NM;128.426.253;0,472;8,182;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;981.927.306;4,261;8,182;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;373.185.407;1,066;8,182;
Consumo Cíclico / Comércio;AUAU3;PETZCOBASI;ON      NM;296.819.280;0,276;8,182;
Consumo Cíclico / Comércio;LJQQ3;QUERO-QUERO;ON      NM;195.194.199;0,137;8,182;
Consumo Cíclico / Comércio;RIAA3;RIACHUELO;ON      NM;82.758.473;0,224;8,182;
Consumo Cíclico / Tecid Vest Calç;ALPA4;ALPARGATAS;PN      N1;137.901.957;0,597;2,701;
Consumo Cíclico / Tecid Vest Calç;GRND3;GRENDENE;ON      NM;245.681.367;0,337;2,701;
Consumo Cíclico / Tecid Vest Calç;TFCO4;TRACK FIELD;PN      N2;49.323.148;0,229;2,701;
