SMLL - Carteira do Dia 09/02/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;123.177.361;1,005;2,701;
Consumo Cíclico / Tecid Vest Calç;VULC3;VULCABRAS;ON      NM;109.348.213;0,533;2,701;
Consumo Cíclico/Autos e Motos;AMOB3;AUTOMOB;ON      NM;10.703.132;0,040;0,956;
Consumo Cíclico/Autos e Motos;MYPK3;IOCHP-MAXION;ON      NM;138.703.243;0,408;0,956;
Consumo Cíclico/Autos e Motos;LEVE3;METAL LEVE;ON      NM;52.865.876;0,508;0,956;
Consumo Cíclico/Constr Civil;CURY3;CURY S/A;ON  ED  NM;160.988.231;1,735;10,586;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;256.055.995;2,232;10,586;
Consumo Cíclico/Constr Civil;CYRE4;CYRELA REALT;PN      NM;48.543.949;0,402;10,586;
Consumo Cíclico/Constr Civil;DIRR3;DIRECIONAL;ON      NM;325.640.184;1,441;10,586;
Consumo Cíclico/Constr Civil;EVEN3;EVEN;ON      NM;185.333.384;0,404;10,586;
Consumo Cíclico/Constr Civil;EZTC3;EZTEC;ON      NM;121.216.090;0,543;10,586;
Consumo Cíclico/Constr Civil;GFSA3;GAFISA;ON      NM;11.159.370;0,011;10,586;
Consumo Cíclico/Constr Civil;HBOR3;HELBOR;ON      NM;65.595.478;0,051;10,586;
Consumo Cíclico/Constr Civil;JHSF3;JHSF PART;ON  ED  NM;275.032.114;0,751;10,586;
Consumo Cíclico/Constr Civil;LAVV3;LAVVI;ON  ED  NM;74.230.129;0,360;10,586;
Consumo Cíclico/Constr Civil;MDNE3;MOURA DUBEUX;ON      NM;61.996.705;0,541;10,586;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;374.670.758;0,938;10,586;
Consumo Cíclico/Constr Civil;PLPL3;PLANOEPLANO;ON      NM;54.395.641;0,223;10,586;
Consumo Cíclico/Constr Civil;TEND3;TENDA;ON      NM;114.782.786;0,954;10,586;
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;446.924.627;0,314;3,169;
Consumo Cíclico/Viagens e Lazer;SMFT3;SMART FIT;ON      NM;467.471.342;2,855;3,169;
Diversos;ANIM3;ANIMA;ON      NM;256.720.485;0,350;4,510;
Diversos;COGN3;COGNA ON;ON      NM;1.914.692.857;2,042;4,510;
Diversos;MOVI3;MOVIDA;ON      NM;121.834.637;0,465;4,510;
Diversos;SEER3;SER EDUCA;ON      NM;50.527.159;0,177;4,510;
Diversos;VAMO3;VAMOS;ON      NM;390.902.974;0,488;4,510;
Diversos;YDUQ3;YDUQS PART;ON      NM;261.365.845;0,988;4,510;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;466.135.796;4,122;9,280;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;1,695;9,280;
Financ e Outros / Explor Imóveis;LOGG3;LOG COM PROP;ON      NM;50.624.080;0,391;9,280;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;320.022.221;2,991;9,280;
Financ e Outros / Explor Imóveis;SYNE3;SYN PROP TEC;ON      NM;59.381.237;0,081;9,280;
Financ e Outros / Holdings Divers;SIMH3;SIMPAR;ON      NM;219.019.512;0,424;0,424;
Financ e Outros / Interms Financs;ABCB4;ABC BRASIL;PN      N2;81.152.113;0,613;1,881;
Financ e Outros / Interms Financs;BRSR6;BANRISUL;PNB     N1;202.536.440;1,016;1,881;
Financ e Outros / Interms Financs;BRBI11;BR PARTNERS;UNT     N2;47.238.057;0,252;1,881;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.787;1,304;1,304;
Mats Básicos / Embalagens;RANI3;IRANI;ON      NM;98.773.072;0,248;0,248;
Mats Básicos / Madeira e Papel;DXCO3;DEXCO;ON      NM;330.827.092;0,518;0,518;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.914.708;1,702;2,286;
Mats Básicos / Mineração;CBAV3;CBA;ON      NM;204.441.277;0,584;2,286;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA ATZ N1;265.876.767;0,697;1,586;
Mats Básicos / Químicos;UNIP6;UNIPAR;PNB;49.483.367;0,889;1,586;
Mats Básicos / Sid Metalurgia;FESA4;FERBASA;PN      N1;147.407.600;0,335;5,470;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;830.615.826;2,298;5,470;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;727.975.012;1,938;5,470;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.117.999;0,899;5,470;
Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON      NM;462.883.017;2,265;6,286;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.802.521.475;2,912;6,286;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;274.630.892;0,827;6,286;
Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,282;6,286;
Saúde/Comércio Distr.;BLAU3;BLAU;ON      NM;38.584.960;0,106;2,966;
Saúde/Comércio Distr.;PNVL3;DIMED;ON      NM;71.064.416;0,289;2,966;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON  ES  NM;329.017.784;2,156;2,966;
Saúde/Comércio Distr.;PGMN3;PAGUE MENOS;ON      NM;234.333.051;0,415;2,966;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;447.150.822;2,120;4,812;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;287.507.905;0,947;4,812;
Saúde/SM Hosp An.Diag;ODPV3;ODONTOPREV;ON      NM;251.735.971;0,836;4,812;
Saúde/SM Hosp An.Diag;ONCO3;ONCOCLINICAS;ON      NM;1.054.759.992;0,735;4,812;
Saúde/SM Hosp An.Diag;QUAL3;QUALICORP;ON      NM;279.655.194;0,174;4,812;
Tec.Informação/Programas Servs;BMOB3;BEMOBI TECH;ON      NM;79.316.310;0,515;1,076;
Tec.Informação/Programas Servs;LWSA3;LWSA;ON      NM;380.656.363;0,470;1,076;
Tec.Informação/Programas Servs;CASH3;MELIUZ;ON      NM;93.080.385;0,091;1,076;
Telecomunicação;DESK3;DESKTOP;ON      NM;34.770.090;0,156;0,156;
Utilidade Públ / Água Saneamento;CSMG3;COPASA;ON      NM;188.467.895;2,842;6,518;
Utilidade Públ / Água Saneamento;ORVR3;ORIZON;ON      NM;54.399.873;1,090;6,518;
Utilidade Públ / Água Saneamento;SAPR11;SANEPAR;UNT     N2;201.077.478;2,586;6,518;
Utilidade Públ / Energ Elétrica;ALUP11;ALUPAR;UNT     N2;157.537.587;1,505;5,061;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;318.338.365;1,016;5,061;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;2,540;5,061;
Quantidade Teórica Total;;;;30.671.201.355;100,000;100,000
Redutor;;;;140.898.212,64580667
